X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,ADDRESS,SCHOOL_NAME,WEBSITE,SCHOOL_TYPE,TYPE,STATUS
-79.7749360552594,43.756277385979,,,,,,,-1,0,-1,,,169,526 FERNFOREST DR,CARBERRY P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7058272158648,43.7030005316634,,,,,,,-1,0,-1,,,170,52 BIRCHBANK RD,BIRCHBANK P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.709922980693,43.7230119129783,,,,,,,-1,0,-1,,,171,510 CLARK BLVD,FALLINGDALE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7075080749518,43.7156118217148,,,,,,,-1,0,-1,,,172,510 BALMORAL DR,BRAMALEA S.S.,http://www.peelschools.org,PUBLIC,SECONDARY,CURRENT
-79.8033837706602,43.7290215792493,,,,,,,-1,0,-1,,,173,50 SOMERSET DR,SOMERSET DRIVE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7045421682829,43.7231397924239,,,,,,,-1,0,-1,,,174,50 EARNSCLIFFE CIR,EARNSCLIFFE SR.P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7627112231432,43.6502033977172,,,,,,,-1,0,-1,,,175,5 YOUNG DR,COPELAND P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7325883986034,43.6709505763969,,,,,,,-1,0,-1,,,176,491 BARTLEY BULL PKY,WILLIAM G. DAVIS SR.P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7492762738292,43.7033507387604,,,,,,,-1,0,-1,,,177,49 MADOC DR,MADOC DRIVE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7303179186062,43.7382839136632,,,,,,,-1,0,-1,,,178,48 JEFFERSON RD,JEFFERSON P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7711603334795,43.75683578247,,,,,,,-1,0,-1,,,179,475 FATHER TOBIN RD,LOUGHEED M.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7682965224242,43.752756740703,,,,,,,-1,0,-1,,,180,450 FERNFOREST DR,VENERABLE MICHAEL J. MCGIVNEY CATHOLIC E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
